_id,confidence,risk_tolerance,composure,impulsivity,impact_desire
103,0.466,0.476,0.444,0.392,0.668
104,0.42,0.445,0.383,0.48,0.096
105,0.484,0.475,0.4,0.6,0.624
106,0.54,0.547,0.553,0.292,0.452
107,0.689,0.6,0.499,0.695,0.587
108,0.517,0.508,0.612,0.86,0.168
109,0.526,0.522,0.385,0.78,0.737
110,0.493,0.51,0.599,0.04,0.863
111,0.308,0.387,0.436,0.481,0.217
112,0.497,0.464,0.493,0.105,0.096
113,0.506,0.458,0.47,0.242,0.024
114,0.746,0.711,0.622,0.987,0.642
115,0.481,0.497,0.49,0.142,0.607
116,0.53,0.499,0.578,0.499,0.547
117,0.497,0.544,0.505,0.618,0.232
118,0.383,0.422,0.462,0.702,0.391
119,0.614,0.615,0.524,0.56,0.594
120,0.575,0.555,0.527,0.01,0.497
121,0.579,0.617,0.55,0.326,0.988
122,0.409,0.489,0.361,0.518,0.136
123,0.64,0.591,0.475,0.088,0.695
124,0.36,0.431,0.489,0.351,0.404
125,0.559,0.56,0.534,0.033,0.428
126,0.719,0.694,0.577,0.079,0.718
127,0.401,0.402,0.461,0.397,0.692
128,0.443,0.481,0.498,0.133,0.991
129,0.51,0.539,0.472,0.568,0.128
130,0.45,0.412,0.433,0.689,0.104
131,0.345,0.356,0.45,0.801,0.724
132,0.507,0.444,0.444,0.2,0.578
133,0.394,0.418,0.482,0.167,0.274
134,0.547,0.555,0.417,0.105,0.079
135,0.408,0.481,0.525,0.636,0.086
136,0.655,0.611,0.59,0.706,0.894
137,0.422,0.494,0.484,0.032,0.192
138,0.468,0.436,0.546,0.936,0.323
139,0.581,0.506,0.632,0.052,0.227
140,0.377,0.412,0.512,0.541,0.355
142,0.631,0.591,0.476,0.871,0.519
143,0.339,0.325,0.398,0.714,0.068
144,0.518,0.51,0.509,0.802,0.8
145,0.526,0.479,0.541,0.339,0.234
146,0.578,0.575,0.488,0.815,0.54
147,0.376,0.424,0.462,0.08,0.88
148,0.368,0.379,0.402,0.895,0.651
149,0.552,0.521,0.484,0.548,0.533
150,0.53,0.489,0.427,0.817,0.324
151,0.525,0.516,0.455,0.452,0.333
152,0.535,0.553,0.433,0.644,0.669
153,0.432,0.423,0.414,0.526,0.994
154,0.523,0.531,0.573,0.732,0.662
155,0.529,0.505,0.455,0.082,0.558
156,0.429,0.426,0.629,0.06,0.731
157,0.687,0.627,0.604,0.247,0.465
158,0.547,0.502,0.53,0.16,0.06
159,0.381,0.4,0.401,0.872,0.562
160,0.566,0.51,0.568,0.219,0.958
161,0.403,0.491,0.426,0.976,0.175
162,0.579,0.556,0.539,0.337,0.69
163,0.616,0.56,0.7,0.182,0.201
164,0.418,0.449,0.461,0.79,0.536
165,0.596,0.564,0.607,0.659,0.097
166,0.541,0.522,0.474,0.498,0.45
167,0.582,0.576,0.531,0.555,0.756
168,0.69,0.656,0.682,0.719,0.348
169,0.475,0.467,0.453,0.228,0.665
170,0.425,0.43,0.579,0.996,0.795
171,0.411,0.429,0.507,0.975,0.927
172,0.418,0.374,0.434,0.65,0.235
173,0.492,0.449,0.535,0.2,0.399
174,0.534,0.565,0.572,0.68,0.152
175,0.528,0.569,0.548,0.072,0.992
176,0.583,0.55,0.439,0.031,0.927
177,0.501,0.518,0.457,0.258,0.54
178,0.645,0.611,0.543,0.463,0.842
179,0.474,0.574,0.485,0.868,0.521
180,0.772,0.724,0.646,0.727,0.624
181,0.563,0.54,0.536,0.743,0.089
182,0.414,0.411,0.386,0.425,0.755
183,0.393,0.377,0.48,0.346,0.128
184,0.548,0.54,0.556,0.371,0.826
185,0.478,0.462,0.525,0.988,0.782
186,0.571,0.507,0.593,0.04,0.709
187,0.547,0.514,0.569,0.867,0.036
188,0.493,0.462,0.525,0.579,0.303
189,0.415,0.491,0.462,0.439,0.263
190,0.349,0.42,0.34,0.725,0.36
191,0.455,0.469,0.508,0.487,0.088
192,0.586,0.604,0.547,0.873,0.937
193,0.521,0.517,0.525,0.901,0.554
194,0.375,0.387,0.374,0.422,0.306
195,0.517,0.558,0.442,0.277,0.397
196,0.539,0.543,0.579,0.592,0.447
197,0.412,0.407,0.462,0.912,0.601
198,0.515,0.505,0.547,0.211,0.516
199,0.506,0.478,0.504,0.623,0.919
200,0.386,0.379,0.456,0.632,0.497
201,0.536,0.553,0.571,0.733,0.992
202,0.556,0.597,0.491,0.132,0.851
203,0.608,0.534,0.549,0.716,0.209
204,0.605,0.591,0.514,0.909,0.931
205,0.362,0.384,0.419,0.18,0.116
206,0.406,0.42,0.444,0.238,0.817
207,0.552,0.518,0.534,0.971,0.381
208,0.551,0.51,0.492,0.181,0.878
209,0.552,0.538,0.596,0.854,0.868
210,0.885,0.745,0.6,0.492,0.806
211,0.557,0.548,0.512,0.247,0.79
212,0.614,0.578,0.519,0.871,0.305
213,0.595,0.56,0.625,0.445,0.081
214,0.565,0.518,0.538,0.515,0.403
215,0.468,0.461,0.549,0.359,0.174
216,0.576,0.576,0.441,0.593,0.695
217,0.423,0.461,0.485,0.164,0.346
218,0.476,0.454,0.544,0.391,0.976
219,0.451,0.469,0.486,0.969,0.641
220,0.508,0.528,0.567,0.258,0.822
221,0.731,0.612,0.562,0.657,0.133
222,0.313,0.386,0.51,0.325,0.862
223,0.569,0.528,0.665,0.773,0.923
224,0.339,0.404,0.414,0.131,0.487
225,0.453,0.444,0.454,0.97,0.606
226,0.609,0.522,0.631,0.454,0.765
227,0.506,0.456,0.597,0.236,0.175
228,0.392,0.426,0.426,0.073,0.503
229,0.428,0.458,0.446,0.17,0.399
230,0.568,0.52,0.51,0.52,0.146
231,0.427,0.468,0.39,0.337,0.368
232,0.522,0.465,0.454,0.829,0.068
233,0.505,0.501,0.442,0.431,0.026
234,0.435,0.418,0.428,0.249,0.135
235,0.714,0.631,0.584,0.617,0.963
236,0.563,0.546,0.539,0.707,0.55
237,0.297,0.332,0.512,0.167,0.966
238,0.519,0.502,0.448,0.168,0.432
239,0.434,0.484,0.533,0.037,0.312
240,0.585,0.542,0.521,0.736,0.506
241,0.421,0.47,0.465,0.664,0.44
242,0.489,0.458,0.536,0.475,0.106
243,0.55,0.551,0.453,0.844,0.641
244,0.587,0.604,0.558,0.806,0.216
245,0.38,0.342,0.462,0.585,0.62
246,0.467,0.453,0.516,0.868,0.65
247,0.453,0.484,0.498,0.206,0.152
248,0.435,0.448,0.621,0.112,0.061
249,0.677,0.635,0.532,0.27,0.781
250,0.54,0.51,0.484,0.057,0.46
251,0.374,0.414,0.412,0.531,0.058
252,0.592,0.56,0.503,0.937,0.995
253,0.712,0.684,0.547,0.039,0.058
254,0.603,0.58,0.613,0.122,0.695
255,0.348,0.404,0.524,0.452,0.984
256,0.452,0.454,0.446,0.934,0.239
257,0.627,0.574,0.501,0.316,0.142
258,0.429,0.437,0.5,0.507,0.121
259,0.544,0.543,0.485,0.042,0.303
260,0.577,0.542,0.569,0.148,0.101
261,0.407,0.444,0.475,0.987,0.692
262,0.494,0.558,0.407,0.965,0.062
263,0.176,0.299,0.463,0.005,0.509
264,0.398,0.419,0.567,0.952,0.997
265,0.475,0.518,0.453,0.639,0.814
266,0.375,0.4,0.427,0.868,0.615
267,0.663,0.553,0.582,0.455,0.306
268,0.357,0.37,0.463,0.516,0.624
269,0.456,0.413,0.522,0.489,0.527
270,0.513,0.499,0.626,0.667,0.426
271,0.644,0.601,0.547,0.14,0.131
272,0.356,0.45,0.395,0.03,0.887
273,0.616,0.591,0.464,0.308,0.45
274,0.501,0.494,0.457,0.705,0.195
275,0.402,0.456,0.459,0.202,0.368
276,0.546,0.466,0.626,0.673,0.414
277,0.52,0.521,0.477,0.97,0.828
278,0.44,0.481,0.489,0.094,0.734
279,0.507,0.461,0.502,0.673,0.769
280,0.461,0.507,0.556,0.444,0.011
281,0.511,0.518,0.656,0.868,0.416
282,0.566,0.534,0.495,0.177,0.481
283,0.659,0.63,0.534,0.693,0.019
284,0.376,0.481,0.513,0.838,0.26
285,0.713,0.655,0.626,0.945,0.76
286,0.305,0.371,0.533,0.683,0.137
287,0.485,0.476,0.529,0.497,0.535
288,0.559,0.516,0.502,0.618,0.215
289,0.528,0.545,0.547,0.869,0.012
290,0.438,0.431,0.542,0.571,0.241
291,0.479,0.488,0.541,0.03,0.976
292,0.451,0.451,0.511,0.931,0.802
293,0.441,0.473,0.54,0.69,0.96
294,0.585,0.569,0.604,0.677,0.488
295,0.536,0.556,0.597,0.216,0.11
296,0.431,0.436,0.511,0.659,0.548
297,0.59,0.555,0.526,0.394,0.454
298,0.531,0.492,0.521,0.651,0.844
299,0.581,0.544,0.605,0.107,0.098
300,0.563,0.555,0.476,0.658,0.488
