_id,asset_value,confidence,risk_tolerance,composure,impulsivity,impact_desire
72,1199.35,0.654,0.623,0.437,0.369,0.122
73,30546.78,0.496,0.541,0.478,0.864,0.181
74,760.79,0.656,0.638,0.54,0.473,0.681
75,20139.92,0.238,0.381,0.311,0.968,0.181
76,37869.840000000004,0.582,0.535,0.486,0.186,0.525
77,27794.280000000002,0.509,0.532,0.437,0.869,0.709
78,280.37,0.47,0.485,0.593,0.777,0.107
79,734.1999999999999,0.509,0.572,0.56,0.771,0.567
80,39596.08,0.301,0.337,0.497,0.845,0.257
81,384.74,0.478,0.459,0.535,0.761,0.963
82,726.74,0.536,0.507,0.447,0.626,0.484
83,729.44,0.648,0.54,0.528,0.131,0.806
84,85248.92,0.448,0.448,0.509,0.033,0.55
85,49968.52,0.419,0.421,0.394,0.921,0.043
86,1028.52,0.45,0.469,0.523,0.617,0.633
87,704.95,0.592,0.574,0.522,0.797,0.951
88,1521.04,0.533,0.579,0.491,0.482,0.602
89,546.05,0.447,0.491,0.521,0.117,0.819
90,353.86,0.551,0.519,0.547,0.125,0.884
91,697.8,0.51,0.48,0.482,0.686,0.228
92,784.3799999999999,0.597,0.583,0.608,0.43,0.212
93,18056.68,0.43,0.411,0.407,0.201,0.611
94,930.59,0.467,0.532,0.524,0.492,0.411
95,323.45,0.461,0.508,0.52,0.064,0.84
96,261.03,0.354,0.383,0.423,0.582,0.9
97,483.98,0.53,0.469,0.531,0.269,0.353
98,70098.95,0.526,0.559,0.435,0.798,0.237
99,419.65999999999997,0.501,0.497,0.556,0.31,0.781
100,1105.82,0.477,0.521,0.48,0.455,0.275
101,715.8199999999999,0.358,0.353,0.412,0.012,0.823
102,1069.1,0.458,0.453,0.546,0.072,0.424
103,242.8,0.466,0.476,0.444,0.392,0.668
104,1238.08,0.42,0.445,0.383,0.48,0.096
105,17536.969999999998,0.484,0.475,0.4,0.6,0.624
106,594.0799999999999,0.54,0.547,0.553,0.292,0.452
107,24126.32,0.689,0.6,0.499,0.695,0.587
108,984.1700000000001,0.517,0.508,0.612,0.86,0.168
109,415.65,0.526,0.522,0.385,0.78,0.737
110,37191.520000000004,0.493,0.51,0.599,0.04,0.863
111,30738.6,0.308,0.387,0.436,0.481,0.217
112,109497.16,0.497,0.464,0.493,0.105,0.096
113,263.91,0.506,0.458,0.47,0.242,0.024
114,777.51,0.746,0.711,0.622,0.987,0.642
115,23757.92,0.481,0.497,0.49,0.142,0.607
116,654.47,0.53,0.499,0.578,0.499,0.547
117,703.6800000000001,0.497,0.544,0.505,0.618,0.232
118,679.11,0.383,0.422,0.462,0.702,0.391
119,24834.68,0.614,0.615,0.524,0.56,0.594
120,811.67,0.575,0.555,0.527,0.01,0.497
121,198.23,0.579,0.617,0.55,0.326,0.988
122,237.41,0.409,0.489,0.361,0.518,0.136
123,18063.23,0.64,0.591,0.475,0.088,0.695
124,1197.07,0.36,0.431,0.489,0.351,0.404
125,483.87,0.559,0.56,0.534,0.033,0.428
126,28839.48,0.719,0.694,0.577,0.079,0.718
127,649.7,0.401,0.402,0.461,0.397,0.692
128,1152.43,0.443,0.481,0.498,0.133,0.991
129,833.58,0.51,0.539,0.472,0.568,0.128
130,39759.3,0.45,0.412,0.433,0.689,0.104
131,17959.85,0.345,0.356,0.45,0.801,0.724
132,45886.02,0.507,0.444,0.444,0.2,0.578
133,723.76,0.394,0.418,0.482,0.167,0.274
134,804.26,0.547,0.555,0.417,0.105,0.079
135,626.5699999999999,0.408,0.481,0.525,0.636,0.086
136,404.78999999999996,0.655,0.611,0.59,0.706,0.894
137,25808.37,0.422,0.494,0.484,0.032,0.192
138,33002.28,0.468,0.436,0.546,0.936,0.323
139,364.48,0.581,0.506,0.632,0.052,0.227
140,47023.88,0.377,0.412,0.512,0.541,0.355
142,46320.07,0.631,0.591,0.476,0.871,0.519
143,51529.66,0.339,0.325,0.398,0.714,0.068
144,950.5799999999999,0.518,0.51,0.509,0.802,0.8
145,32597.73,0.526,0.479,0.541,0.339,0.234
146,43760.15,0.578,0.575,0.488,0.815,0.54
147,379.75,0.376,0.424,0.462,0.08,0.88
148,606.17,0.368,0.379,0.402,0.895,0.651
149,145.25,0.552,0.521,0.484,0.548,0.533
150,879.5,0.53,0.489,0.427,0.817,0.324
151,415.81,0.525,0.516,0.455,0.452,0.333
152,1105.25,0.535,0.553,0.433,0.644,0.669
153,41079.66,0.432,0.423,0.414,0.526,0.994
154,27138.39,0.523,0.531,0.573,0.732,0.662
155,50147.61,0.529,0.505,0.455,0.082,0.558
156,72945.20999999999,0.429,0.426,0.629,0.06,0.731
157,17432.29,0.687,0.627,0.604,0.247,0.465
158,524.4200000000001,0.547,0.502,0.53,0.16,0.06
159,458.34000000000003,0.381,0.4,0.401,0.872,0.562
160,27745.140000000003,0.566,0.51,0.568,0.219,0.958
161,929.61,0.403,0.491,0.426,0.976,0.175
162,1059.94,0.579,0.556,0.539,0.337,0.69
163,25022.100000000002,0.616,0.56,0.7,0.182,0.201
164,638.0699999999999,0.418,0.449,0.461,0.79,0.536
165,21072.65,0.596,0.564,0.607,0.659,0.097
166,44171.869999999995,0.541,0.522,0.474,0.498,0.45
167,200.94,0.582,0.576,0.531,0.555,0.756
168,1023.62,0.69,0.656,0.682,0.719,0.348
169,343.98,0.475,0.467,0.453,0.228,0.665
170,615.4200000000001,0.425,0.43,0.579,0.996,0.795
171,321.66,0.411,0.429,0.507,0.975,0.927
172,996.19,0.418,0.374,0.434,0.65,0.235
173,32056.97,0.492,0.449,0.535,0.2,0.399
174,199.6,0.534,0.565,0.572,0.68,0.152
175,126.76,0.528,0.569,0.548,0.072,0.992
176,588.91,0.583,0.55,0.439,0.031,0.927
177,718.18,0.501,0.518,0.457,0.258,0.54
178,73939.36,0.645,0.611,0.543,0.463,0.842
179,700.4,0.474,0.574,0.485,0.868,0.521
180,1066.2,0.772,0.724,0.646,0.727,0.624
181,697.29,0.563,0.54,0.536,0.743,0.089
182,40459.77,0.414,0.411,0.386,0.425,0.755
183,40590.770000000004,0.393,0.377,0.48,0.346,0.128
184,35465.86,0.548,0.54,0.556,0.371,0.826
185,26424.63,0.478,0.462,0.525,0.988,0.782
186,351.84000000000003,0.571,0.507,0.593,0.04,0.709
187,334.4,0.547,0.514,0.569,0.867,0.036
188,864.2,0.493,0.462,0.525,0.579,0.303
189,25040.25,0.415,0.491,0.462,0.439,0.263
190,43103.04,0.349,0.42,0.34,0.725,0.36
191,31150.079999999998,0.455,0.469,0.508,0.487,0.088
192,40647.899999999994,0.586,0.604,0.547,0.873,0.937
193,410.5,0.521,0.517,0.525,0.901,0.554
194,1368.0,0.375,0.387,0.374,0.422,0.306
195,17728.72,0.517,0.558,0.442,0.277,0.397
196,31275.15,0.539,0.543,0.579,0.592,0.447
197,25261.22,0.412,0.407,0.462,0.912,0.601
198,35059.9,0.515,0.505,0.547,0.211,0.516
199,607.8399999999999,0.506,0.478,0.504,0.623,0.919
200,24809.45,0.386,0.379,0.456,0.632,0.497
201,251.89,0.536,0.553,0.571,0.733,0.992
202,26487.879999999997,0.556,0.597,0.491,0.132,0.851
203,17255.97,0.608,0.534,0.549,0.716,0.209
204,44287.92,0.605,0.591,0.514,0.909,0.931
205,462.45000000000005,0.362,0.384,0.419,0.18,0.116
206,922.98,0.406,0.42,0.444,0.238,0.817
207,26832.56,0.552,0.518,0.534,0.971,0.381
208,794.37,0.551,0.51,0.492,0.181,0.878
209,118.41,0.552,0.538,0.596,0.854,0.868
210,1203.55,0.885,0.745,0.6,0.492,0.806
211,227.28,0.557,0.548,0.512,0.247,0.79
212,37367.64,0.614,0.578,0.519,0.871,0.305
213,22840.370000000003,0.595,0.56,0.625,0.445,0.081
214,412.89,0.565,0.518,0.538,0.515,0.403
215,385.8,0.468,0.461,0.549,0.359,0.174
216,44124.65,0.576,0.576,0.441,0.593,0.695
217,32012.91,0.423,0.461,0.485,0.164,0.346
218,332.94,0.476,0.454,0.544,0.391,0.976
219,47185.14,0.451,0.469,0.486,0.969,0.641
220,37779.58,0.508,0.528,0.567,0.258,0.822
221,18322.41,0.731,0.612,0.562,0.657,0.133
222,584.57,0.313,0.386,0.51,0.325,0.862
223,30879.629999999997,0.569,0.528,0.665,0.773,0.923
224,32543.3,0.339,0.404,0.414,0.131,0.487
225,638.3,0.453,0.444,0.454,0.97,0.606
226,222.45,0.609,0.522,0.631,0.454,0.765
227,173.74,0.506,0.456,0.597,0.236,0.175
228,33890.43,0.392,0.426,0.426,0.073,0.503
229,510.57,0.428,0.458,0.446,0.17,0.399
230,330.97,0.568,0.52,0.51,0.52,0.146
231,128.55,0.427,0.468,0.39,0.337,0.368
232,39859.92,0.522,0.465,0.454,0.829,0.068
233,28244.26,0.505,0.501,0.442,0.431,0.026
234,929.65,0.435,0.418,0.428,0.249,0.135
235,719.88,0.714,0.631,0.584,0.617,0.963
236,564.55,0.563,0.546,0.539,0.707,0.55
237,679.98,0.297,0.332,0.512,0.167,0.966
238,577.91,0.519,0.502,0.448,0.168,0.432
239,458.03,0.434,0.484,0.533,0.037,0.312
240,611.1800000000001,0.585,0.542,0.521,0.736,0.506
241,23555.579999999998,0.421,0.47,0.465,0.664,0.44
242,71478.98,0.489,0.458,0.536,0.475,0.106
243,651.41,0.55,0.551,0.453,0.844,0.641
244,798.3,0.587,0.604,0.558,0.806,0.216
245,26672.359999999997,0.38,0.342,0.462,0.585,0.62
246,64879.63,0.467,0.453,0.516,0.868,0.65
247,17429.3,0.453,0.484,0.498,0.206,0.152
248,794.82,0.435,0.448,0.621,0.112,0.061
249,26196.99,0.677,0.635,0.532,0.27,0.781
250,761.3299999999999,0.54,0.51,0.484,0.057,0.46
251,39132.75,0.374,0.414,0.412,0.531,0.058
252,83217.59,0.592,0.56,0.503,0.937,0.995
253,23185.760000000002,0.712,0.684,0.547,0.039,0.058
254,436.43,0.603,0.58,0.613,0.122,0.695
255,31852.46,0.348,0.404,0.524,0.452,0.984
256,646.9200000000001,0.452,0.454,0.446,0.934,0.239
257,24172.51,0.627,0.574,0.501,0.316,0.142
258,627.38,0.429,0.437,0.5,0.507,0.121
259,19739.62,0.544,0.543,0.485,0.042,0.303
260,1635.1000000000001,0.577,0.542,0.569,0.148,0.101
261,1108.3600000000001,0.407,0.444,0.475,0.987,0.692
262,24866.5,0.494,0.558,0.407,0.965,0.062
263,31610.3,0.176,0.299,0.463,0.005,0.509
264,47991.07,0.398,0.419,0.567,0.952,0.997
265,534.5699999999999,0.475,0.518,0.453,0.639,0.814
266,30765.239999999998,0.375,0.4,0.427,0.868,0.615
267,342.09000000000003,0.663,0.553,0.582,0.455,0.306
268,583.89,0.357,0.37,0.463,0.516,0.624
269,22431.73,0.456,0.413,0.522,0.489,0.527
270,550.36,0.513,0.499,0.626,0.667,0.426
271,27196.54,0.644,0.601,0.547,0.14,0.131
272,688.38,0.356,0.45,0.395,0.03,0.887
273,22950.95,0.616,0.591,0.464,0.308,0.45
274,37791.06,0.501,0.494,0.457,0.705,0.195
275,176.4,0.402,0.456,0.459,0.202,0.368
276,822.78,0.546,0.466,0.626,0.673,0.414
277,16573.82,0.52,0.521,0.477,0.97,0.828
278,635.69,0.44,0.481,0.489,0.094,0.734
279,29116.45,0.507,0.461,0.502,0.673,0.769
280,503.51,0.461,0.507,0.556,0.444,0.011
281,30003.19,0.511,0.518,0.656,0.868,0.416
282,492.09,0.566,0.534,0.495,0.177,0.481
283,16509.02,0.659,0.63,0.534,0.693,0.019
284,148378.33,0.376,0.481,0.513,0.838,0.26
285,1291.42,0.713,0.655,0.626,0.945,0.76
286,550.77,0.305,0.371,0.533,0.683,0.137
287,446.52,0.485,0.476,0.529,0.497,0.535
288,89881.38,0.559,0.516,0.502,0.618,0.215
289,437.40999999999997,0.528,0.545,0.547,0.869,0.012
290,715.02,0.438,0.431,0.542,0.571,0.241
291,31634.57,0.479,0.488,0.541,0.03,0.976
292,1093.52,0.451,0.451,0.511,0.931,0.802
293,741.66,0.441,0.473,0.54,0.69,0.96
294,422.51,0.585,0.569,0.604,0.677,0.488
295,20971.44,0.536,0.556,0.597,0.216,0.11
296,91979.38,0.431,0.436,0.511,0.659,0.548
297,25842.23,0.59,0.555,0.526,0.394,0.454
298,358.77,0.531,0.492,0.521,0.651,0.844
299,406.02,0.581,0.544,0.605,0.107,0.098
300,967.4499999999999,0.563,0.555,0.476,0.658,0.488
